,ds,y
301,18:01:2018 15:06:01,85.7
302,18:01:2018 15:09:01,89.75
303,18:01:2018 15:12:01,93.07
304,18:01:2018 15:15:01,86.14
305,18:01:2018 15:18:01,96.45
306,18:01:2018 15:21:01,85.24
307,18:01:2018 15:24:01,92.54
308,18:01:2018 15:27:01,90.29
309,18:01:2018 15:30:02,86.5
310,18:01:2018 15:33:01,96.2
311,18:01:2018 15:36:01,84.68
312,18:01:2018 15:39:01,92.22
313,18:01:2018 15:42:01,90.36
314,18:01:2018 15:45:01,86.77
315,18:01:2018 15:48:01,95.95
316,18:01:2018 15:51:01,85.46
317,18:01:2018 15:54:01,91.36
318,18:01:2018 15:57:01,90.51
319,18:01:2018 16:00:01,85.92
320,18:01:2018 16:03:01,96.24
321,18:01:2018 16:06:01,85.22
322,18:01:2018 16:09:01,91.77
323,18:01:2018 16:12:01,90.71
324,18:01:2018 16:15:01,86.41
325,18:01:2018 16:18:01,96.39
326,18:01:2018 16:21:01,85.73
327,18:01:2018 16:24:01,91.09
328,18:01:2018 16:27:01,91.6
329,18:01:2018 16:30:01,86.96
330,18:01:2018 16:33:01,95.98
331,18:01:2018 16:36:01,85.59
332,18:01:2018 16:39:01,90.25
333,18:01:2018 16:42:01,92.47
334,18:01:2018 16:45:01,86.31
335,18:01:2018 16:48:02,96.93
336,18:01:2018 16:51:01,85.18
337,18:01:2018 16:54:02,92.59
338,18:01:2018 16:57:01,90.05
339,18:01:2018 17:00:01,86.95
340,18:01:2018 17:03:01,95.54
341,18:01:2018 17:06:01,85.49
342,18:01:2018 17:09:01,91.78
343,18:01:2018 17:12:01,90.94
344,18:01:2018 17:15:01,86.83
345,18:01:2018 17:18:01,95.9
346,18:01:2018 17:21:01,85.36
347,18:01:2018 17:24:01,90.74
348,18:01:2018 17:27:01,91.29
349,18:01:2018 17:30:01,86.14
350,18:01:2018 17:33:01,96.57
351,18:01:2018 17:36:01,85.38
352,18:01:2018 17:39:01,93.21
353,18:01:2018 17:42:01,88.99
354,18:01:2018 17:45:01,86.88
355,18:01:2018 17:48:01,95.99
356,18:01:2018 17:51:01,85.21
357,18:01:2018 17:54:01,92.04
358,18:01:2018 17:57:01,90.44
359,18:01:2018 18:00:01,86.8
360,18:01:2018 18:03:01,95.57
361,18:01:2018 18:06:01,86.14
362,18:01:2018 18:09:01,91.79
363,18:01:2018 18:12:01,90.7
364,18:01:2018 18:15:02,86.38
365,18:01:2018 18:18:01,96.45
366,18:01:2018 18:21:01,85.38
367,18:01:2018 18:24:01,91.3
368,18:01:2018 18:27:01,91.4
369,18:01:2018 18:30:01,86.16
370,18:01:2018 18:33:01,96.09
371,18:01:2018 18:36:01,85.66
372,18:01:2018 18:39:01,92.72
373,18:01:2018 18:42:01,89.52
374,18:01:2018 18:45:01,85.8
375,18:01:2018 18:48:01,96.63
376,18:01:2018 18:51:01,85.55
377,18:01:2018 18:54:01,92.25
378,18:01:2018 18:57:01,89.65
379,18:01:2018 19:00:01,85.98
380,18:01:2018 19:03:01,95.72
381,18:01:2018 19:06:01,84.93
382,18:01:2018 19:09:01,92.27
383,18:01:2018 19:12:01,89.58
384,18:01:2018 19:15:01,85.92
385,18:01:2018 19:18:01,95.85
386,18:01:2018 19:21:01,84.62
387,18:01:2018 19:24:01,91.89
388,18:01:2018 19:27:01,90.67
389,18:01:2018 19:30:01,86.26
390,18:01:2018 19:33:01,96.72
391,18:01:2018 19:36:01,85.97
392,18:01:2018 19:39:01,91.45
393,18:01:2018 19:42:01,90.88
394,18:01:2018 19:45:01,86.24
395,18:01:2018 19:48:01,96.55
396,18:01:2018 19:51:01,85.44
397,18:01:2018 19:54:01,90.83
398,18:01:2018 19:57:01,91.78
399,18:01:2018 20:00:02,86.39
400,18:01:2018 20:03:01,95.79
401,18:01:2018 20:06:01,85.49
402,18:01:2018 20:09:01,92.92
403,18:01:2018 20:12:01,89.51
404,18:01:2018 20:15:01,85.81
405,18:01:2018 20:18:01,96.74
406,18:01:2018 20:21:01,85.84
407,18:01:2018 20:24:01,91.87
408,18:01:2018 20:27:01,90.45
409,18:01:2018 20:30:01,86.33
410,18:01:2018 20:33:01,96.42
411,18:01:2018 20:36:01,85.33
412,18:01:2018 20:39:01,92.33
413,18:01:2018 20:42:01,90.16
414,18:01:2018 20:45:01,86.61
415,18:01:2018 20:48:01,96.07
416,18:01:2018 20:51:01,85.4
417,18:01:2018 20:54:01,91.4
418,18:01:2018 20:57:01,91.3
419,18:01:2018 21:00:01,85.98
420,18:01:2018 21:03:01,96.31
421,18:01:2018 21:06:01,85.41
422,18:01:2018 21:09:01,91.95
423,18:01:2018 21:12:01,90.74
424,18:01:2018 21:15:01,86.56
425,18:01:2018 21:18:01,96.27
426,18:01:2018 21:21:01,85.31
427,18:01:2018 21:24:01,91.04
428,18:01:2018 21:27:01,91.67
