18:01:2018:13:39:01,91.64
18:01:2018:13:42:01,91.01
18:01:2018:13:45:01,86.12
18:01:2018:13:48:02,96.78
18:01:2018:13:51:01,85.39
18:01:2018:13:54:01,90.47
18:01:2018:13:57:01,92.63
18:01:2018:14:00:01,86.56
18:01:2018:14:03:01,96.22
18:01:2018:14:06:01,85.24
18:01:2018:14:09:01,93.17
18:01:2018:14:12:01,89.54
18:01:2018:14:15:01,86.50
18:01:2018:14:18:01,96.12
18:01:2018:14:21:01,85.62
18:01:2018:14:24:01,92.48
18:01:2018:14:27:01,89.91
18:01:2018:14:30:01,85.99
18:01:2018:14:33:01,96.52
18:01:2018:14:36:01,85.35
18:01:2018:14:39:01,92.38
18:01:2018:14:42:01,90.61
18:01:2018:14:45:01,86.47
18:01:2018:14:48:01,96.32
18:01:2018:14:51:01,85.31
18:01:2018:14:54:01,91.92
18:01:2018:14:57:01,91.01
18:01:2018:15:00:01,86.77
18:01:2018:15:03:01,95.58
18:01:2018:15:06:01,85.70
18:01:2018:15:09:01,89.75
18:01:2018:15:12:01,93.07
18:01:2018:15:15:01,86.14
18:01:2018:15:18:01,96.45
18:01:2018:15:21:01,85.24
18:01:2018:15:24:01,92.54
18:01:2018:15:27:01,90.29
18:01:2018:15:30:02,86.50
18:01:2018:15:33:01,96.20
18:01:2018:15:36:01,84.68
18:01:2018:15:39:01,92.22
18:01:2018:15:42:01,90.36
18:01:2018:15:45:01,86.77
18:01:2018:15:48:01,95.95
18:01:2018:15:51:01,85.46
18:01:2018:15:54:01,91.36
18:01:2018:15:57:01,90.51
18:01:2018:16:00:01,85.92
18:01:2018:16:03:01,96.24
18:01:2018:16:06:01,85.22
18:01:2018:16:09:01,91.77
18:01:2018:16:12:01,90.71
18:01:2018:16:15:01,86.41
18:01:2018:16:18:01,96.39
18:01:2018:16:21:01,85.73
18:01:2018:16:24:01,91.09
18:01:2018:16:27:01,91.60
18:01:2018:16:30:01,86.96
18:01:2018:16:33:01,95.98
18:01:2018:16:36:01,85.59
18:01:2018:16:39:01,90.25
18:01:2018:16:42:01,92.47
18:01:2018:16:45:01,86.31
18:01:2018:16:48:02,96.93
18:01:2018:16:51:01,85.18
18:01:2018:16:54:02,92.59
18:01:2018:16:57:01,90.05
18:01:2018:17:00:01,86.95
18:01:2018:17:03:01,95.54
18:01:2018:17:06:01,85.49
18:01:2018:17:09:01,91.78
18:01:2018:17:12:01,90.94
18:01:2018:17:15:01,86.83
18:01:2018:17:18:01,95.90
18:01:2018:17:21:01,85.36
18:01:2018:17:24:01,90.74
18:01:2018:17:27:01,91.29
18:01:2018:17:30:01,86.14
18:01:2018:17:33:01,96.57
18:01:2018:17:36:01,85.38
18:01:2018:17:39:01,93.21
18:01:2018:17:42:01,88.99
18:01:2018:17:45:01,86.88
18:01:2018:17:48:01,95.99
18:01:2018:17:51:01,85.21
18:01:2018:17:54:01,92.04
18:01:2018:17:57:01,90.44
18:01:2018:18:00:01,86.80
18:01:2018:18:03:01,95.57
18:01:2018:18:06:01,86.14
18:01:2018:18:09:01,91.79
18:01:2018:18:12:01,90.70
18:01:2018:18:15:02,86.38
18:01:2018:18:18:01,96.45
18:01:2018:18:21:01,85.38
18:01:2018:18:24:01,91.30
18:01:2018:18:27:01,91.40
18:01:2018:18:30:01,86.16
18:01:2018:18:33:01,96.09
18:01:2018:18:36:01,85.66
18:01:2018:18:39:01,92.72
18:01:2018:18:42:01,89.52
18:01:2018:18:45:01,85.80
18:01:2018:18:48:01,96.63
18:01:2018:18:51:01,85.55
18:01:2018:18:54:01,92.25
18:01:2018:18:57:01,89.65
18:01:2018:19:00:01,85.98
18:01:2018:19:03:01,95.72
18:01:2018:19:06:01,84.93
18:01:2018:19:09:01,92.27
18:01:2018:19:12:01,89.58
18:01:2018:19:15:01,85.92
18:01:2018:19:18:01,95.85
18:01:2018:19:21:01,84.62
18:01:2018:19:24:01,91.89
18:01:2018:19:27:01,90.67
18:01:2018:19:30:01,86.26
18:01:2018:19:33:01,96.72
18:01:2018:19:36:01,85.97
18:01:2018:19:39:01,91.45
18:01:2018:19:42:01,90.88
18:01:2018:19:45:01,86.24
18:01:2018:19:48:01,96.55
18:01:2018:19:51:01,85.44
18:01:2018:19:54:01,90.83
18:01:2018:19:57:01,91.78
18:01:2018:20:00:02,86.39
18:01:2018:20:03:01,95.79
18:01:2018:20:06:01,85.49
18:01:2018:20:09:01,92.92
18:01:2018:20:12:01,89.51
18:01:2018:20:15:01,85.81
18:01:2018:20:18:01,96.74
18:01:2018:20:21:01,85.84
18:01:2018:20:24:01,91.87
18:01:2018:20:27:01,90.45
18:01:2018:20:30:01,86.33
18:01:2018:20:33:01,96.42
18:01:2018:20:36:01,85.33
18:01:2018:20:39:01,92.33
18:01:2018:20:42:01,90.16
18:01:2018:20:45:01,86.61
18:01:2018:20:48:01,96.07
18:01:2018:20:51:01,85.40
18:01:2018:20:54:01,91.40
18:01:2018:20:57:01,91.30
18:01:2018:21:00:01,85.98
18:01:2018:21:03:01,96.31
18:01:2018:21:06:01,85.41
18:01:2018:21:09:01,91.95
18:01:2018:21:12:01,90.74
18:01:2018:21:15:01,86.56
18:01:2018:21:18:01,96.27
18:01:2018:21:21:01,85.31
18:01:2018:21:24:01,91.04
18:01:2018:21:27:01,91.67
18:01:2018:21:30:01,86.51
18:01:2018:21:33:01,95.88
18:01:2018:21:36:01,85.20
18:01:2018:21:39:01,92.95
18:01:2018:21:42:01,89.40
18:01:2018:21:45:01,85.80
18:01:2018:21:48:01,96.64
18:01:2018:21:51:01,84.90
18:01:2018:21:54:01,92.48
18:01:2018:21:57:01,89.82
18:01:2018:22:00:01,86.51
18:01:2018:22:03:01,95.82
18:01:2018:22:06:01,85.44
18:01:2018:22:09:01,92.35
18:01:2018:22:12:01,90.45
18:01:2018:22:15:01,86.72
18:01:2018:22:18:01,95.78
18:01:2018:22:21:01,85.46
18:01:2018:22:24:01,91.27
18:01:2018:22:27:01,91.36
18:01:2018:22:30:02,86.16
18:01:2018:22:33:01,96.74
18:01:2018:22:36:01,85.25
18:01:2018:22:39:01,90.51
18:01:2018:22:42:01,92.33
18:01:2018:22:45:01,86.54
18:01:2018:22:48:01,96.47
18:01:2018:22:51:01,85.55
18:01:2018:22:54:01,92.44
18:01:2018:22:57:01,90.34
18:01:2018:23:00:02,86.97
18:01:2018:23:03:01,95.63
18:01:2018:23:06:01,85.66
18:01:2018:23:09:01,91.67
18:01:2018:23:12:01,90.94
18:01:2018:23:15:01,86.15
18:01:2018:23:18:01,96.73
18:01:2018:23:21:01,85.28
18:01:2018:23:24:01,91.26
18:01:2018:23:27:01,91.71
18:01:2018:23:30:01,86.46
18:01:2018:23:33:01,96.49
19:01:2018:0:03:01,89.28
19:01:2018:0:06:01,91.55
19:01:2018:0:09:01,86.05
19:01:2018:0:12:01,96.66
19:01:2018:0:15:01,85.87
19:01:2018:0:18:01,90.05
19:01:2018:0:21:01,92.03
19:01:2018:0:24:02,86.46
19:01:2018:0:27:01,95.77
19:01:2018:0:30:01,86.27
19:01:2018:0:33:01,92.20
19:01:2018:0:36:01,89.36
19:01:2018:0:39:01,86.58
19:01:2018:0:42:01,95.81
19:01:2018:0:45:01,86.38
19:01:2018:0:48:01,92.07
19:01:2018:0:51:01,89.61
19:01:2018:0:54:01,86.33
19:01:2018:0:57:01,96.21
19:01:2018:1:00:01,85.95
19:01:2018:1:03:01,92.06
19:01:2018:1:06:01,89.31
19:01:2018:1:09:01,86.37
19:01:2018:1:12:01,95.85
19:01:2018:1:15:01,85.98
19:01:2018:1:18:01,91.98
19:01:2018:1:21:01,89.44
19:01:2018:1:24:01,85.62
19:01:2018:1:27:01,96.36
19:01:2018:1:30:02,86.22
19:01:2018:1:33:01,91.53
19:01:2018:1:36:01,89.87
19:01:2018:1:39:01,86.27
19:01:2018:1:42:01,96.17
19:01:2018:1:45:01,85.94
19:01:2018:1:48:01,92.00
19:01:2018:1:51:01,89.75
19:01:2018:1:54:01,86.56
19:01:2018:1:57:01,95.60
19:01:2018:2:00:01,85.98
19:01:2018:2:03:01,90.93
19:01:2018:2:06:02,90.28
19:01:2018:2:09:01,85.75
19:01:2018:2:12:01,96.56
19:01:2018:2:15:01,86.14
19:01:2018:2:18:01,91.11
19:01:2018:2:21:01,90.19
19:01:2018:2:24:01,86.35
19:01:2018:2:27:01,96.09
19:01:2018:2:30:01,85.83
19:01:2018:2:33:01,91.49
19:01:2018:2:36:01,90.20
19:01:2018:2:39:01,86.18
19:01:2018:2:42:01,95.77
19:01:2018:2:45:01,85.91
19:01:2018:2:48:01,91.04
19:01:2018:2:51:01,90.64
19:01:2018:2:54:01,85.99
19:01:2018:2:57:01,96.54
19:01:2018:3:00:01,85.93
19:01:2018:3:03:01,90.97
19:01:2018:3:06:01,90.52
19:01:2018:3:09:01,85.91
19:01:2018:3:12:01,96.16
19:01:2018:3:15:01,85.85
19:01:2018:3:18:01,91.29
19:01:2018:3:21:01,90.47
19:01:2018:3:24:01,86.47
19:01:2018:3:27:01,95.88
19:01:2018:3:30:02,85.95
19:01:2018:3:33:01,90.64
19:01:2018:3:36:01,91.23
19:01:2018:3:39:01,85.95
19:01:2018:3:42:01,96.62
19:01:2018:3:45:02,85.86
19:01:2018:3:48:01,88.94
19:01:2018:3:51:01,91.44
19:01:2018:3:54:01,86.28
19:01:2018:3:57:01,96.30
19:01:2018:4:00:01,85.85
19:01:2018:4:03:01,89.56
19:01:2018:4:06:01,91.76
